sdg,exact-match*,fuzzy-match*,query-augmentation*,fasttext*,OSDG v1,sdgbert,JRC SDG Mapper,Jina Embeddings v3*,text2sdg,AFD SDG Prospector,llm with target*
1,0.2,0.6,0.6,0.9,0.8,0.5,0.7,0.6,0.9,0.9,0.9
2,0.5,0.6,0.9,0.3,0.5,0.9,0.7,0.8,0.8,0.9,0.7
3,0.7,0.5,0.6,0.5,0.6,0.7,0.8,0.6,0.8,0.9,0.8
4,0.6,0.7,0.7,0.5,0.8,0.8,0.6,0.9,0.9,1.0,0.9
5,0.6,0.7,0.8,0.2,0.4,0.8,0.7,0.9,0.9,0.8,0.9
6,0.9,0.9,0.8,1.0,0.8,0.9,0.7,0.8,0.9,0.9,0.9
7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.0,0.9
8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.9,0.8
9,0.8,0.8,0.7,0.8,0.3,0.6,0.7,0.8,0.8,0.9,0.8
10,0.7,0.7,0.6,0.7,0.6,0.7,0.5,0.7,0.8,0.8,0.9
11,0.4,0.5,0.6,0.4,0.6,0.6,0.6,0.7,0.7,0.9,0.9
12,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.8,0.7,0.8,0.9
13,0.7,0.7,0.7,0.5,0.5,0.7,0.8,0.8,0.9,0.9,0.9
14,0.5,0.8,0.6,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.9
15,0.5,0.7,0.7,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.9
16,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.5,0.8,0.9,0.8
17,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.8,0.7,0.7,0.9
