course_code,course_name
DART1150,Sculpture 1: Foundations
DDES9903,Narrative and Sensemaking in Immersive Environments
MGMT5613,Managing Global Value Chains
EDST1104,Social Perspectives in Education
MINE8445,Mining Industry Research Project 2
MGMT5803,Business Innovation
ZEIT2602,Hydraulic Engineering
TABL5551,Taxation Law
ENTR9002,Business Model and Lean Startup Methodologies
AVIG5911,Flying Operations 1
PTRL5022,Drilling Systems Design and Optimisation
GEOS1211,Earth and Environmental Science
JURD7685,"Law, Urban Sustainability and the New Economy"
ZEIT4013,Hypersonics and Advanced Propulsion
SENG3011,Software Engineering Workshop 3
PHAR3101,"Drug Discovery, Design and Development"
LAWS8105,Juvenile Justice
GMAT3150,Surveying Field Projects
ZBUS8101,Strategic Management
CHEM3011,Quantum Nature of Molecules
ZBUS1101,Organisational Behaviour
MUSC2802,Music Studio Teaching
COMP9021,Principles of Programming
VISN2211,Organisation and Function of the Visual System
SOLA5051,Life Cycle Assessment
SWCH9004,Clinical Reproductive Medicine 1
ZEIT8029,Mobile Network and Memory Forensics
INFS3020,Information Systems and Technology International Study Tour
CODE2170,Building Information Modelling
ZEIT4297,Engineering Project Extension
MICR3621,Microbial Genetics (Advanced)
SOSS3008,Globalisation and Policy Making
ARTS2066,Writing for the Screen
ECON4100,Advanced Microeconomic Analysis
PHYS4200,Physics Research Project
EDST5433,Organisation Theory in Education
INFS2604,Artificial Intelligence Fluency
EDST5325,TESOL Advanced Professional Practice
CDEV3300,Global Practice of Work
IEST7600,Indigenous Knowledge Partnerships in Conservation & Caring for Country
SCIF1004,Science and the Cinema
LAND7201,Master Landscape Studio 3: The Public Realm
IEST6001,Restorative Ecologies: Permaculture Principles & Practice
ACCT5919,Business Risk Management
COMD5000,"NGOs, Civil Society and Development"
ECON3121,Industrial Organisation
PHSL2501,Human Physiology A
ARTS3667,Insights into Korean as a Second Language
ELEC2117,Electrical Systems Design
PSYC5003,Data Analysis and Methods of Psychological Inquiry
ARCH7220,Architecture and Urbanism in Asia
ARCH7227,A History of Housing
MATS2004,Mechanical Behaviour of Materials
EDST6775,Visual Arts Method 1
PSYC7235,Professional and Ethical Practice (Clinical) 5
LING5022,Cross- cultural Pragmatics
BABS3041,Immunology
BIOM4951,Research Thesis A
BLDG2013,Construction Estimating
DART1100,Studio Art Practice 1
LAWS8423,Research Thesis: 6 Units of Credit
SCIF1000,Level 1 Capstone
FINS2618,Capital Markets and Institutions
ZBUS3208,Marketing
ARTS5503,Academic Writing for the Humanities
ARTS2120,Writing for Performance
MDIA3091,Media Futures
JURD7404,International Children's Rights Law
ARTS3283,Roman Emperors: From Augustus to Nero
CHEM2832,Medicines: Small Molecules to Macromolecules
ELEC9711,Power Electronics for Renewable and Distributed Generation
PLAN6000,Planning with Indigenous Peoples
ENGG1400,Engineering Infrastructure Systems
AGSM9274,Systems for Change (WEB Weekly)
MERE2810,Mineral Resource Geology & Geophysics
LAND2201,Landscape Studio 3 Landform and Planting
COMP9164,Concepts of Programming Languages
FINS5530,Financial Institution Management
BLDG4023,Construction Value Management
ZEIT8270,Project Report - Decision Analytics Part-Time
LING5003,Language Technology
JURD7777,Law Internships: Extended
ARTS2126,Reviewing the Arts
MATH1251,Mathematics for Actuarial Studies and Finance 1B
LAWS8139,Law and the Culture Industries
MATS4004,Fracture Mechanics and Failure Analysis
FOOD8110,Advanced Food Chemistry
EDST6758,Extension Music Method 2
OPTM6400,Optometric Preclinical Practice
LAWS3137,Australian Consumer Law
ACTL3303,Industry Placement 3
BLDG4018,Building Appraisal & Land Economics
MATH5215,Special Topics in Applied Mathematics C
TABL2793,Environmental Sustainability and Taxation
NEUR3121,Molecular and Cellular Neuroscience
FINS3610,Private Credit
MUSC3808,Becoming a Performer
JURD7591,Comparative Constitutional Law
TELE9753,Advanced Wireless Communications
ECON7204,Macroeconometrics
MUSC1808,Music Literacies 2
ARTS2127,Great Plays
CVEN4050,Thesis A
COMD5002,"Development, Human Rights and Global Health"
ARTS3662,Korean Popular Culture and Language
MODL5112,Advanced Translation Technology and Industry Practice
MECH4900,Mechanics of Fracture and Fatigue
OPTM8522,Clinical Optometry 5B
ZPEM2312,Fundamentals of Data Analysis
PHCM9794,Foundations of Epidemiology
ZEIT3505,Flight Dynamics and Aircraft Control
ARTS2360,Knowledge and Reality
INFS5959,Cybersecurity Analytics
JURD7250,Federal Constitutional Law
CODE1240,Computational Design 1 (Building)
CONS0016,Construction Risk Management and Business Analytics
LAWS3384,Legal Experimentalism
ACTL5105,Life Insurance and Superannuation
ELEC9731,Robust and Linear Control Systems
MATH3911,Higher Statistical Inference
SCIF3900,Sustainable Tourism in Regional Australia
MMAN4951,Research Thesis A
ARTS1270,"Global History: Exploring the First Globalization, 15th-19th Century"
ARTS3812,"Manias, Panics and Crashes: Global Political Economy in an Era of Crisis"
ELEC4605,Quantum Devices and Computers
ELEC4953,Research Thesis C
ARTS2050,Academic Writing for the Humanities
LAND7313,Masters Landscape Studio: Capstone Part 2
ECON4106,Policy Evaluation Methods
LAND2312,Landscape Studio 6: Site Planning – Landscape Performance and Site Design
MFAC1522,": Beginnings, Growth and Development B"
DDES9904,"Models, Systems and Solution Design"
DDES9123,Furniture and Lighting: Contemporary Studio
HUMS1008,Music on My Mind: Psychology and Music
LAWS8067,"International Law, Human Rights and Cultural Heritage"
INTA3004,Interior Architecture Critical Perspectives 4
DART2321,Sensing the Arts
EDST6776,Visual Arts Method 2
SOMS3232,Cellular Mechanisms of Health and Disease
PLAN2006,Urban Management and Development Assessment
ARTS3380,Advanced Topics in Social Philosophy
LAWS9800,Law for Psychologists 1
EDST5802,Identification of Gifted Students
PHCM9790,"Digital Health- Principles, Practice and Evidence"
MATH2018,Engineering Mathematics 2D
DART1301,Histories of Contemporary Art: Part 2
MINE3630,Rock Breakage
CVEN3502,Water and Wastewater Engineering
BEIL6002,Urban and Regional Design
ZEIT4150,Fundamentals of Artificial Intelligence
ZBUS8201,Leadership
VISN5522,Vision Rehabilitation
ARTS1011,Inventing the Self: Creative Writing in the Digital Age
DART1121,Painting and the Body
ZEIT4118,Computing and Cyber Security Honours Special Topic 2
JURD7617,Intellectual Property Law
PLTX1180,Criminal Law Practice
LAWS3281,Advanced Statutory Interpretation
COMP2521,Data Structures and Algorithms
MATH3560,History of Mathematics
SOCF5103,Research Issues in Counselling Social Work
JURD7361,Environmental Law
LAND7303,Regional Landscape Outreach Studio
MATH5515,Special Topics in Pure Mathematics A
TELE9755,"Microwave Circuits, Theory and Techniques"
ELEC9741,Electrical Engineering Data Science
JURD7411,Indigenous People and the Law
ADAD9114,Research Foundations in Art and Design
ZEIT1208,Introduction to Electrical Engineering
LAWS3368,The Australian Legal System in Comparative Perspective
ANAT2241,Histology: Basic and Systematic
COMM5010,"Strategy, Marketing and Management"
PSYC3202,Clinical and Cognitive Neuroscience
VISN3111,Development and Aging of the Visual System
ARTS3064,Issues in Film Styles and Aesthetics
COMP4920,Professional Issues and Ethics in Information Technology
ZPEM1101,Chemistry 1A
ARTS3377,Advanced Topics in Political Philosophy
ARTS3630,Japanese 5
SOCW7852,Politics of International Aid
BENV7800,Digital Documentation
ARTS3885,"Violence, Resistance, Change"
JURD7387,Forced Migration and Human Rights in International Law
JURD7942,The Will of the People
COMM5999,myMCom Graduate Portfolio
MUSC2803,Creative Sound Design
LAWS3110,Comparative Constitutional Law
BIOM9621,Biological Signal Analysis
EXPT2151,Motor Learning and Motor Control
MECH4880,Refrigeration and Air Conditioning 1
ZEIT2190,Computing and Cyber Security Research 2
ELEC4614,Power Electronics
ARTS2212,Southeast Asia
JURD7586,Law of the Sea
ARTS2036,Queer Modernisms
MNGT5520,"Quantitative Business Modelling for Managers (Full-time, Session 3, Kensington)"
ZEIT4501,Engineering Project B
AVIA5030,"Aviation, Tourism and Sustainable Development"
CVEN3401,Sustainable Transport and Highway Engineering
JURD7222,Law and Social Theory
SOLA5053,Wind Energy Converters
MATH1081,Discrete Mathematics
VISN4016,Vision Science Honours (For students commencing in T3 2024)
CVEN4309,Sustainable Timber Engineering
ARTS3048,Gothic Cultures: Literature and Screen
BIOS2500,Evolution and the Modern World
EDST2003,"Learning and Teaching: Language, Literacy and Numeracy"
AVIA1901,Aviation Transport Economics
ZEIT8020,Cyber Offence: Threats and Opportunities
COMP3431,Robotic Software Architecture
ARTS1030,The Literary Imagination: Introduction to English
JURD7819,Police Powers Clinic
CDEV6500,Future Leader Lab
COMM5713,Collaboration for Social Impact
DART1220,Visual Effects 1
MUSC3807,MusiCultures
ARCH1102,Architectural Design Studio 2
IEST5001,Frameworks of Environmental Relations & Leadership
LAWS3423,Research Thesis
INFS5997,Digital Business and Applied Analytics
LAWS3040,Regulation for Cyber Security
PSYC5006,Psychology Across the Lifespan
EDST6726,Extension Mathematics Method 1
PSYC5005,Behavioural Neuroscience
SOCW2100,First Nations People and Social Work
PSYC7420,Professional and Ethical Practice (Forensic) 4
BIOM1010,Engineering in Medicine and Biology
GENL1062,Understanding Human Rights
MNGT5522,"Mergers and Acquisitions (Full-time, Session 3)"
ARTS1360,Truth and Human Existence: Introduction to Philosophy
LAND2101,Landscape Studio 1 - Design Fundamentals
FINS5516,International Corporate Finance
BENV1010,Communication in the Built Environment
INFS5848,Fundamentals of Information Systems and Technology Project Management
GEOS9011,Environmental Impact Assessment
MATH3531,Topology and Differential Geometry
RISK5002,Risk Analytics
PSYC4093,Psychology 4A
LAWS1150,Principles of Private Law
CEIC2001,Fluid and Particle Mechanics
ZEIT8260,Project Report - Cyber Security (Part Time)
SOLA9120,Advanced Photovoltaic Manufacturing
FOOD3801,Unit Operations in Food Processing
PSYC3199,Psychology Work Placement 1
BENV2522,Social Robotics
ARTS3289,Documentary Film and History
VISN5523,Orientation and Mobility in Practice
ECON3209,Statistics for Econometrics
PHCM9082,Advanced Health Economics and Financial Management
ECON5324,Behavioural Economics
DART1310,Australian Art
ARTS2282,Rome
ARTS3460,Chinese English Translation
MUSC2706,Music Ensemble
PTRL6007,Reservoir Engineering 2
JURD7619,International Environmental Law
BLDG2011,Building Services
TABL2710,Business and the Law
CHEM3998,Advanced Special Project in Chemistry
MDIA3092,Media in the Asia- Pacific
MANF4430,Reliability and Maintenance Engineering
ARTS4926,Politics and International Relations Honours
DART9300,Digital Aesthetics
LAWS8214,Global Common Law Systems
LAND2152,Plants and Design
ZEIT4230,Electrical Engineering Design Project 2
AGSM6131,Leadership (Virtual Weekly)
LAWS3393,Succession
ZPEM8104,Counter IED and Forensic Investigation of Explosives
ACTL3301,Quantitative Risk Management
ACTL5100,Actuarial Theory and Practice  A
JURD7444,Animal Law
CEIC3005,Process Plant Design
ARTS2281,Ancient Egypt and Western Asia
LAWS1214,Foundations Enrichment 2
COMM5008,Enterprise Skills
COMP6845,Extended Digital Forensics and Incident Response
DDES1040,Graphics and Print/ Making
ZEIT4500,Engineering Project A
PSYC3371,Multivariate Data Analysis for Psychology
LAWS3282,Advanced Administrative Law
SAHT9310,Exhibiting Cultures
SOLA5057,Energy Efficiency
PLAN2003,Urban Design
FINS5535,Derivatives and Risk Management Techniques
PTRL2019,Reservoir Engineering A
JURD7417,The Politics of Human Rights: Theory and Critique
MARK4211,Research Seminar in Marketing
ARCH7183,Professional Practice 2: Projects and Practice
TABL3033,UNSW Tax and Business Advisory Clinic
ZEIT2207,Analog Electronics
ZSPS9002,Cyber Security Data Governance and Privacy
FINS3655,Behavioural Finance
LAWS8087,International Law and the Use of Force
MINE3910,Socio- Environmental Aspects of Mining
IDES3333,Industrial Design Theory B: Product Design Research Methods
CVEN4202,Advanced Topics in Geotechnical Engineering
ARTS3022,Narrative: The Art and Science of Storytelling
TELE3113,Analogue and Digital Communications
DART3110,Drawing 3: Advanced Practice
EDST5805,Curriculum Differentiation and Assessment in Gifted Education
MANF4100,Design and Analysis of Product- Process Systems
PSYC7212,Adult and Child Clinical Psychology 1
MDIA2006,Communication Strategies
JURD7370,The Essential Advocate: An Introduction to Advocacy
ARTS3241,Environmental Justice
MINE5010,Fundamentals of Rock Behaviour for Underground Mining
