course_code,sdg_number,sdg_name,addressed,justification,timestamp
MGMT5613,8,Decent Work and Economic Growth,Supported,Keywords detected: business,2024-11-25 13:18:05.379236
MGMT5613,9,Industry Innovation and Infrastructure,Supported,Keywords detected: governance,2024-11-25 13:18:05.379236
MGMT5613,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 13:18:05.379236
MGMT5613,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 13:18:05.379236
MGMT5613,15,Life on Land,Supported,Keywords detected: ground,2024-11-25 13:18:05.379236
MGMT5803,8,Decent Work and Economic Growth,Supported,"Keywords detected: business, business, business, business, business",2024-11-25 13:18:06.531119
MGMT5803,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: innovation, innovation, technolog",2024-11-25 13:18:06.531119
MGMT5803,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 13:18:06.531119
MGMT5803,10,Reduced Inequalities,Supported,"Keywords detected: cult, just",2024-11-25 13:18:06.531119
MGMT5803,16,"Peace, Justice and Strong Institutions",Focus,Keywords detected: enable,2024-11-25 13:18:06.531119
INFS3020,16,"Peace, Justice and Strong Institutions",Focus,Keywords detected: enable,2024-11-25 13:18:13.427455
INFS3020,8,Decent Work and Economic Growth,Supported,"Keywords detected: business, business, business, business",2024-11-25 13:18:13.427455
INFS3020,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 13:18:13.427455
INFS3020,4,Quality Education,Supported,"Keywords detected: cultur, cultur",2024-11-25 13:18:13.427455
INFS3020,10,Reduced Inequalities,Supported,"Keywords detected: belief, cult, cult",2024-11-25 13:18:13.427455
INFS2604,9,Industry Innovation and Infrastructure,Supported,Keywords detected: technolog,2024-11-25 13:18:16.293079
INFS2604,3,Good Health and Well-being,Supported,Keywords detected: risks,2024-11-25 13:18:16.293079
INFS2604,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 13:18:16.293079
ACCT5919,8,Decent Work and Economic Growth,Supported,"Keywords detected: business, business, business, commerce",2024-11-25 13:18:18.246179
ACCT5919,3,Good Health and Well-being,Supported,Keywords detected: risks,2024-11-25 13:18:18.246179
ACCT5919,9,Industry Innovation and Infrastructure,Supported,Keywords detected: commerce,2024-11-25 13:18:18.246179
ACCT5919,12,Responsible Consumption and Production,Supported,Keywords detected: commerce,2024-11-25 13:18:18.246179
ACCT5919,15,Life on Land,Supported,Keywords detected: ground,2024-11-25 13:18:18.246179
ECON3121,8,Decent Work and Economic Growth,Supported,Keywords detected: trade,2024-11-25 13:18:19.240148
ECON3121,9,Industry Innovation and Infrastructure,Supported,Keywords detected: trade,2024-11-25 13:18:19.240148
ECON3121,10,Reduced Inequalities,Supported,"Keywords detected: just, cult",2024-11-25 13:18:19.240148
FINS2618,8,Decent Work and Economic Growth,Supported,"Keywords detected: economy, exchange, finance, finance",2024-11-25 13:18:24.397285
FINS2618,10,Reduced Inequalities,Supported,Keywords detected: equity,2024-11-25 13:18:24.397285
FINS2618,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: equity,2024-11-25 13:18:24.397285
FINS2618,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 13:18:24.397285
AGSM9274,10,Reduced Inequalities,Supported,Keywords detected: social responsibil,2024-11-25 13:18:27.590348
FINS5530,8,Decent Work and Economic Growth,Supported,"Keywords detected: economy, capital",2024-11-25 13:18:28.670367
FINS5530,3,Good Health and Well-being,Supported,Keywords detected: risks,2024-11-25 13:18:28.670367
TABL2793,13,Climate Action,Focus,"Keywords detected: environmental problem, environmental problem, environmental problem, decision-making, environmental problem",2024-11-25 13:18:33.749020
TABL2793,8,Decent Work and Economic Growth,Supported,Keywords detected: business,2024-11-25 13:18:33.749020
FINS3610,13,Climate Action,Focus,Keywords detected: mitigation,2024-11-25 13:18:34.648029
ECON7204,12,Responsible Consumption and Production,Supported,Keywords detected: fall,2024-11-25 13:18:35.692270
INFS5959,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: security, threats, security, threats",2024-11-25 13:18:39.915799
INFS5959,6,Clean Water and Sanitation,Supported,"Keywords detected: pond, law enforcement",2024-11-25 13:18:39.915799
INFS5959,9,Industry Innovation and Infrastructure,Focus,Keywords detected: r and d,2024-11-25 13:18:39.915799
INFS5959,8,Decent Work and Economic Growth,Supported,Keywords detected: business,2024-11-25 13:18:39.915799
FINS2618,8,Decent Work and Economic Growth,Supported,"Keywords detected: economy, exchange, finance, finance",2024-11-25 13:18:42.460653
FINS2618,10,Reduced Inequalities,Supported,Keywords detected: equity,2024-11-25 13:18:42.460653
FINS2618,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: equity,2024-11-25 13:18:42.460653
FINS2618,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 13:18:42.460653
