"course_code","sdg_number","sdg_name","addressed","justification","timestamp"
"DART1150","4","Quality Education","Yes","The course provides foundational education in sculpture, including skills, history, and critical thinking.","2025-04-30 04:14:34.336438"
"DART1150","0","analysed","analysed","analysed","2025-04-30 04:14:34.336932"
"DDES9903","4","Quality Education","Yes","The course provides postgraduate education in narrative and sensemaking in immersive environments, contributing to specialized knowledge and skills.","2025-04-30 04:14:37.694927"
"DDES9903","9","Industry, Innovation and Infrastructure","Yes","The course focuses on advances in technology, immersive and virtual systems, simulation, gaming, virtual reality, and installation, which are directly related to industry and innovation.","2025-04-30 04:14:37.694937"
"DDES9903","0","analysed","analysed","analysed","2025-04-30 04:14:37.695974"
"MGMT5613","4","Quality Education","Yes","The course is a postgraduate level course providing theoretical and practical understanding of managing global value chains.","2025-04-30 04:14:41.997331"
"MGMT5613","8","Decent Work and Economic Growth","Yes","The course focuses on leveraging global value chains for long-term value creation and growth in organisations, directly relating to economic growth and potentially decent work within those value chains.","2025-04-30 04:14:41.997366"
"MGMT5613","9","Industry, Innovation and Infrastructure","Yes","The course deals with constructing, managing, and optimising value chains, which are integral to industry and infrastructure. It also mentions models of resilience and upgradation, implying innovation.","2025-04-30 04:14:41.997371"
"MGMT5613","12","Responsible Consumption and Production","Yes","The course description mentions ""sustainability of competitive advantage in a dynamic institutional and environmental context"" and a reflective assignment task asks about ensuring ""long term value creation to drive growth is done as sustainably as possible,"" directly linking to responsible production within value chains.","2025-04-30 04:14:41.997377"
"MGMT5613","17","Partnerships for the Goals","Yes","The course focuses on global value chains and international business, inherently involving partnerships between different entities across borders. Collaboration with students from diverse cultural backgrounds is also a learning outcome.","2025-04-30 04:14:41.997382"
"MGMT5613","0","analysed","analysed","analysed","2025-04-30 04:14:41.998742"
"EDST1104","1","No Poverty","Yes","The course examines the relationship between family background factors such as SES and educational outcomes, which is directly linked to poverty and its impact on education.","2025-04-30 04:14:45.580544"
"EDST1104","4","Quality Education","Yes","The entire course focuses on understanding and improving education, particularly in addressing inequalities and promoting inclusive practices.","2025-04-30 04:14:45.580558"
"EDST1104","5","Gender Equality","Yes","The course explicitly addresses the relationship between gender and educational outcomes and explores gender differences in schools.","2025-04-30 04:14:45.580562"
"EDST1104","10","Reduced Inequalities","Yes","A central theme of the course is equity and social justice in education, examining how schools can reduce or reinforce inequalities based on social, cultural, economic, and gender differences, as well as race and multiculturalism.","2025-04-30 04:14:45.580567"
"EDST1104","16","Peace, Justice and Strong Institutions","Yes","The course examines education policies and the role of institutions (schools) in promoting social justice and addressing inequalities.","2025-04-30 04:14:45.580571"
"EDST1104","0","analysed","analysed","analysed","2025-04-30 04:14:45.582077"
"MINE8445","3","Good Health and Well-being","Yes","Course aims to design solutions that are ""safe"", which relates to health and safety in the mining industry.","2025-04-30 04:14:49.368540"
"MINE8445","4","Quality Education","Yes","The course is a postgraduate research project designed to extend research capabilities and skills in mining engineering.","2025-04-30 04:14:49.368546"
"MINE8445","8","Decent Work and Economic Growth","Yes","The course focuses on industry-related problems and developing skills for engineers in the mining industry, contributing to economic activity.","2025-04-30 04:14:49.368551"
"MINE8445","9","Industry, Innovation and Infrastructure","Yes","The course is specifically focused on research and developing solutions for the mining industry, which is a key part of infrastructure and innovation.","2025-04-30 04:14:49.368553"
"MINE8445","17","Partnerships for the Goals","Yes","The course requires industry support and collaboration, indicating a partnership approach to research.","2025-04-30 04:14:49.368561"
"MINE8445","0","analysed","analysed","analysed","2025-04-30 04:14:49.369311"
"ZEIT2602","4","Quality Education","Yes","The course provides technical education in hydraulic engineering, contributing to quality education.","2025-04-30 04:14:55.104055"
"ZEIT2602","6","Clean Water and Sanitation","Yes","The course focuses on hydraulic engineering, which is directly relevant to water systems, pipe networks, and open channel flow, all crucial for clean water and sanitation infrastructure.","2025-04-30 04:14:55.104071"
