"course_code","sdg_number","sdg_name","addressed","target_number","target_name","justification","timestamp"
"DART1150","4","Quality Education","Yes","4.4","Skills for employment","The outline explicitly states the course ""provides students with a framework for developing basic skills in making"" and ""introduces them to the foundations of this field,"" which are skills relevant to the art and design sector.","2025-04-29 19:28:21.784231"
"DART1150","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance research and upgrade industrial technologies","The outline mentions ""introduction to Makerspace remotely"" and ""support from UNSWAD Makerspace"" for developing a digital 3D object, indicating the use of relevant technological infrastructure.","2025-04-29 19:28:21.784245"
"DART1150","11","Sustainable Cities and Communities","Yes","11.4","Protect and safeguard the world’s cultural and natural heritage","The course description states ""Discussions emphasise the ways in which artists address concepts and context through their choice of materials and forms"" and the course aims to introduce students to the ""history of this field and the diversity of contemporary practices,"" which contributes to understanding and potentially safeguarding cultural heritage through art.","2025-04-29 19:28:21.784264"
"DART1150","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:21.784768"
"DDES9903","4","Quality Education","Yes","4.4","Skills for employment, decent jobs and entrepreneurship","The outline explicitly states the course examines ""contemporary industry examples in simulation, gaming, 360 cinema, virtual reality and installation"" and students will ""Apply the principles of agency, interactivity and navigation to design immersive experiences"" (CLO3), which directly relates to developing skills relevant to these industries for employment.","2025-04-29 19:28:27.064499"
"DDES9903","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance scientific research, upgrade technological capabilities of industrial sectors","The course focuses on ""Advances in technology are today forging new ways of composing and developing narrative experiences"" and examines ""contemporary industry examples in simulation, gaming, 360 cinema, virtual reality and installation"". It also involves students developing ""Digital Walk through"" prototypes using technologies like WebGL, directly contributing to enhancing technological capabilities in relevant industrial sectors.","2025-04-29 19:28:27.064580"
"DDES9903","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:27.066292"
"MGMT5613","4","Quality Education","Yes","4.4","Skills for employment","The course aims to ""build theoretical and practical understanding of how to leverage global value chains (GVCs) for long-term value creation to drive growth in organisations"" and states that upon completion students will have a ""strong understanding of how organisations construct value chains - mounting, managing, and optimising them - and how to become adept in sourcing, buying and supplying products and services,"" which directly relates to developing skills for employment in international business.","2025-04-29 19:28:31.052393"
"MGMT5613","8","Decent Work and Economic Growth","Yes","8.2","Diversify, technologize and innovate for economic productivity","The course description explicitly states the aim is to ""leverage global value chains (GVCs) for long-term value creation to drive growth in organisations"" and to develop understanding of ""how organisations manage value chains in terms of governing and optimising them,"" which directly aligns with increasing economic productivity through diversification, technological upgrading, and innovation in value chains.","2025-04-29 19:28:31.052468"
"MGMT5613","9","Industry, Innovation and Infrastructure","Yes","9.4","Upgrade infrastructure and retrofit industries to be sustainable","The course includes a lecture on ""Resilient and sustainable GVCs"" and a reflective assignment task requires students to ""describe the strategy settings that ensure that long term value creation to drive growth is done as sustainably as possible,"" directly addressing the concept of making industrial processes within value chains more sustainable.","2025-04-29 19:28:31.052527"
